country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes,permalink
FINLAND,Laukolan koulun beach volley,,"Laukolan koulutie, 21290",60.610464,22.304024,address,1,,,yes,school,city,524695,,2026-05-13,LIPAS id 524695; type 1330; status active,fi-out-524695-laukolan-koulun-beach-volley
FINLAND,Lehmijärven beachvolleykenttä 1,,"Lehmirannantie 121, 25170",60.299859,23.075069,address,1,sand,,yes,public,city,512143,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/uimarannat/?mid=5-3011,2026-05-13,LIPAS id 512143; type 1330; status active,fi-out-512143-lehmijarven-beachvolleykentta-1
FINLAND,Lehtimäen kenttä,,"Laitalantie, 35100",61.657981,24.366965,address,1,sand,,yes,public,city,614113,www.orivesi.fi,2026-05-13,LIPAS id 614113; type 1330; status active,fi-out-614113-lehtimaen-kentta
FINLAND,Lielahden beachvolleykenttä,,"Teivaalantie 2, 33400",61.521905,23.669041,address,1,sand,,,public,city,510096,http://www.tampere.fi/,2026-05-13,LIPAS id 510096; type 1330; status active,fi-out-510096-lielahden-beachvolleykentta
FINLAND,Liikennepuiston beachvolleykenttä,,"Mettäkuja, 62100",62.957917,23.042189,address,1,,,,public,city,614500,,2026-05-13,LIPAS id 614500; type 1330; status active,fi-out-614500-liikennepuiston-beachvolleykentta
FINLAND,Lukion beachvolleyskenttä,,"Lukiontie 2, 04600",60.639682,25.318205,address,1,,,,public,city,618775,,2026-05-13,LIPAS id 618775; type 1330; status active,fi-out-618775-lukion-beachvolleyskentta
FINLAND,Märynummen beachvolleykenttä ,,"Hirvitie 92, 25250",60.445841,23.050594,address,1,sand,,,public,city,512059,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-3016,2026-05-13,LIPAS id 512059; type 1330; status active,fi-out-512059-marynummen-beachvolleykentta
FINLAND,Naarjärven beachvolleykenttä,,"Uimarannantie 245, 25540",60.255883,23.298064,address,1,sand,,yes,public,city,512068,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/uimarannat/?mid=5-3021,2026-05-13,LIPAS id 512068; type 1330; status active,fi-out-512068-naarjarven-beachvolleykentta
FINLAND,Paskokankaan beachvolleykenttä,,"Pihlaisentie 930, 92620",64.201617,25.931495,address,1,sand,,yes,public,city,510946,http://www.siikalatva.fi/,2026-05-13,LIPAS id 510946; type 1330; status active,fi-out-510946-paskokankaan-beachvolleykentta
FINLAND,Perhepuiston beach volley -kentät,,"Perhepuistontie, 38800",61.780151,22.734317,address,1,sand,,yes,public,city,618972,https://jamijarvi.fi/,2026-05-13,LIPAS id 618972; type 1330; status active,fi-out-618972-perhepuiston-beach-volley-kentat
