country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes
FINLAND,Alavetelin beachvolley,,"Murikantie, 68410",63.703070,23.345632,address,,,,yes,public,unknown,607925,,2026-05-09,LIPAS id 607925; type 1330; status active
FINLAND,Askon rannan beachvolleykenttä,,"Askontie 10, 19700",61.498995,25.685556,address,1,sand,,yes,public,city,510381,http://www.sysma.fi/,2026-05-09,LIPAS id 510381; type 1330; status active
FINLAND,Beachvolley,,"Andra sjön, 66900",63.519424,22.463226,address,1,sand,,yes,public,city,602191,,2026-05-09,LIPAS id 602191; type 1330; status active
FINLAND,Biitsibreikki,,"Telekatu 1, 20360",60.492274,22.288996,address,,sand,,,public,company-ltd,618827,https://www.biitsibreikki.fi/,2026-05-09,LIPAS id 618827; type 1330; status active
FINLAND,Bråtö beachvolley,,"Bråtönkyläntie 60, 68500",63.749052,23.000122,address,1,sand,,yes,public,registered-association,608131,,2026-05-09,LIPAS id 608131; type 1330; status active
FINLAND,Gräggnäs beachvolley,,"Gräggnäsvägen, 25830",60.028504,22.682014,address,,,,,public,unknown,612485,,2026-05-09,LIPAS id 612485; type 1330; status active
FINLAND,Hertunrannan beachvolleykenttä,,"Hertunranta, 78200",62.320908,27.871346,address,,sand,,yes,public,city,612430,https://varkaus.fi/fi/sivu/ulkoilu-ja-liikuntapaikat,2026-05-09,LIPAS id 612430; type 1330; status active
FINLAND,Hietamaan beachvolleykenttä,,"Hietamaantie 95, 92400",64.668374,25.069433,address,1,sand,,yes,public,city,101404,http://www.siikajoki.fi/,2026-05-09,LIPAS id 101404; type 1330; status active
FINLAND,Ingegerdin rantalentopallokenttä,,"Rossinkatu 2, 20380",60.475379,22.302083,address,1,sand,,yes,public,city,509933,http://www.turku.fi/vapaa-aika/liikunta/ulkoliikunta/kentat/lentopallokentat,2026-05-09,LIPAS id 509933; type 1330; status active
FINLAND,Jaatilanrinteen beachvolleykenttä,,"Vesitorninkatu, 42100",61.879873,25.203376,address,1,sand,,yes,public,city,500273,jamsa.sometec.fi,2026-05-09,LIPAS id 500273; type 1330; status active
FINLAND,Jussinpekan koulun beachvolleykenttä,,"Jussinmäentie 2, 85410",63.898388,24.527860,address,,sand,,yes,school,city,603020,,2026-05-09,LIPAS id 603020; type 1330; status active
FINLAND,Kaivolan beachvolleykenttä,,"Kaivolantie, 25360",60.449321,23.239163,address,1,sand,,,school,city,511966,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-5236,2026-05-09,LIPAS id 511966; type 1330; status active
FINLAND,Kipinäniemen beach volley-kenttä,,"Kipinäniementie, 13330",60.978762,24.552670,address,,,,,public,city,618793,,2026-05-09,LIPAS id 618793; type 1330; status active
FINLAND,Kiskon kk beachvolleykenttä,,"Kirkkojärventie, 25470",60.249795,23.470580,address,1,sand,,,public,city,101414,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-3844,2026-05-09,LIPAS id 101414; type 1330; status active
FINLAND,Koivusaaren maauimalan beachvolley kenttä,,"Suolasenkoskentie 18, 46800",60.755736,26.785227,address,,,,,public,city,609031,https://www.kouvola.fi/vapaa-aika/liikunta/liikuntapaikat/ulkoliikunta/beachvolley/,2026-05-09,LIPAS id 609031; type 1330; status active
FINLAND,Kokkilan beachvolleykenttä 1,,"Kokkilantie 880, 25230",60.318986,22.945894,address,1,sand,,,public,city,512140,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-3002,2026-05-09,LIPAS id 512140; type 1330; status active
FINLAND,Kokkilan uimapaikan beachvolleykenttä 2,,"Kokkilantie 880, 25230",60.318971,22.945705,address,1,sand,,,public,city,512141,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-3002,2026-05-09,LIPAS id 512141; type 1330; status active
FINLAND,Kokkilan uimapaikan beachvolleykenttä 3,,"Kokkilantie 880, 25230",60.318908,22.945405,address,1,sand,,yes,public,city,512142,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-3002,2026-05-09,LIPAS id 512142; type 1330; status active
FINLAND,Kupittaan rantalentopallokenttä 1,,"Blomberginaukio 7, 20520",60.445415,22.293371,address,1,sand,,yes,school,city,509930,https://www.turku.fi/toimipaikat/kupittaan-rantalentopallokentat-1-2,2026-05-09,LIPAS id 509930; type 1330; status active
FINLAND,Kupittaan rantalentopallokenttä 2,,"Blomberginaukio 7, 20520",60.445338,22.293219,address,1,sand,,yes,school,city,509931,https://www.turku.fi/toimipaikat/kupittaan-rantalentopallokentat-1-2,2026-05-09,LIPAS id 509931; type 1330; status active
FINLAND,Kuusiston beachvolleykenttä,,"Kuusistontie, 69300",63.767802,24.249082,address,1,sand,,yes,school,city,509996,http://www.toholampi.fi/,2026-05-09,LIPAS id 509996; type 1330; status active
FINLAND,Kyrönniemen beachvolleykenttä 1,,"Kyrönniemenkatu 5, 57200",61.863036,28.909221,address,1,sand,,,public,city,511650,http://www.savonlinna.fi/,2026-05-09,LIPAS id 511650; type 1330; status active
